Name,Year,Admissions,Surgeries,Outpatient Visits
Metro Medical Center,2000,620,230,1500
Metro Medical Center,2001,640,250,1550
Metro Medical Center,2002,660,260,1600
Metro Medical Center,2003,680,270,1650
Metro Medical Center,2004,700,280,1700
Metro Medical Center,2005,720,290,1750
Metro Medical Center,2006,740,300,1800
Metro Medical Center,2007,760,310,1850
Metro Medical Center,2008,780,320,1900
Metro Medical Center,2009,800,330,1950
Metro Medical Center,2010,820,340,2000
Metro Medical Center,2011,840,350,2050
Metro Medical Center,2012,860,360,2100
Metro Medical Center,2013,880,370,2150
Metro Medical Center,2014,900,380,2200
Metro Medical Center,2015,920,390,2250
Metro Medical Center,2016,940,400,2300
Metro Medical Center,2017,960,410,2350
Metro Medical Center,2018,980,420,2400
Metro Medical Center,2019,1000,430,2450
Metro Medical Center,2020,1020,440,2500
Metro Medical Center,2021,1040,450,2550
Metro Medical Center,2022,1060,460,2600
Metro Medical Center,2023,1080,470,2650
Metro Medical Center,2024,1100,480,2700
