Number,Name,Type1,Type2,Total,HP,Attack,Defense,SpAtk,SpDef,Speed
001,Bulbasaur,Grass,Poison,318,45,49,49,65,65,45
002,Ivysaur,Grass,Poison,405,60,62,63,80,80,60
003,Venusaur,Grass,Poison,525,80,82,83,100,100,80
004,Charmander,Fire,,309,39,52,43,60,50,65
005,Charmeleon,Fire,,405,58,64,58,80,65,80
006,Charizard,Fire,Flying,534,78,84,78,109,85,100
007,Squirtle,Water,,314,44,48,65,50,64,43
008,Wartortle,Water,,405,59,63,80,65,80,58
009,Blastoise,Water,,530,79,83,100,85,105,78
010,Caterpie,Bug,,195,45,30,35,20,20,45
011,Metapod,Bug,,205,50,20,55,25,25,30
012,Butterfree,Bug,Flying,395,60,45,50,90,80,70
013,Weedle,Bug,Poison,195,40,35,30,20,20,50
014,Kakuna,Bug,Poison,205,45,25,50,25,25,35
015,Beedrill,Bug,Poison,395,65,90,40,45,80,75
016,Pidgey,Normal,Flying,251,40,45,40,35,35,56
017,Pidgeotto,Normal,Flying,349,63,60,55,50,50,71
018,Pidgeot,Normal,Flying,479,83,80,75,70,70,101
019,Rattata,Normal,,253,30,56,35,25,35,72
020,Raticate,Normal,,413,55,81,60,50,70,97
021,Spearow,Normal,Flying,262,40,60,30,31,31,70
022,Fearow,Normal,Flying,442,65,90,65,61,61,100
023,Ekans,Poison,,288,35,60,44,40,54,55
024,Arbok,Poison,,438,60,85,69,65,79,80
025,Pikachu,Electric,,320,35,55,40,50,50,90
026,Raichu,Electric,,485,60,90,55,90,80,110
027,Sandshrew,Ground,,300,50,75,85,20,30,40
028,Sandslash,Ground,,450,75,100,110,45,55,65
029,Nidoranâ™️€,Poison,,275,55,47,52,40,40,41
030,Nidorina,Poison,,365,70,62,67,55,55,56
031,Nidoqueen,Poison,Ground,505,90,92,87,75,85,76
032,Nidoranâ™️‚,Poison,,273,46,57,40,40,40,50
033,Nidorino,Poison,,365,61,72,57,55,55,65
034,Nidoking,Poison,Ground,505,81,102,77,85,75,85
035,Clefairy,Fairy,,323,70,45,48,60,65,35
036,Clefable,Fairy,,483,95,70,73,95,90,60
037,Vulpix,Fire,,299,38,41,40,50,65,65
038,Ninetales,Fire,,505,73,76,75,81,100,100
039,Jigglypuff,Normal,Fairy,270,115,45,20,45,25,20
040,Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45
